"LOC","STA","STATION","C","BAND","SPN","NUMB","SPEC","AGE","HA","WRP","SEX","HS","SK","CP","BP","F","BM","FM","FW","JP","WNG","WEIGHT","STATUS","DATE","TIME","NET","ANET","DISP","PPC","SSC","PPF","SSF","TT","RR","HD","UPP","UNP","BPL","NF","FP","N","B","A","BRSTAT","IP","SP","year"
"MORA",11273,"SSPT","N","279049222",212600,"15810","BTYW","2","SJ",,"U",,"2","0","0","0","2","J","1","3",60,9,"300",2018-08-04,"070","10","10",,,,,,,,,,,,,"-","-","*","*","B","10","A",2018
"MORA",11273,"SSPT","N","279049223",212600,"15810","BTYW","1","P",,"M","P",,"0","0","0","1","A","2","0",62,9,"300",2018-08-04,"070","10","10",,"B","B","B","B","B","B",,,,"B","B","-","-","*","*","B","10","A",2018
"MORA",11273,"SSPT","N","279049210",214200,"16290","WIWA","6","P",,"M","PC",,"2","0","1","0","N","1","0",54,,"300",2018-06-06,"063","06","06",,"B","B","B","B","B","B",,,,"B","B","-","-","*","*","O","04","A",2018
"MORA",11273,"SSPT","N","224167925",215500,"16840","WETA","6","R",,"F","R",,"0","0","0","0","N","1","0",92,34,"300",2018-06-06,"074","03","03",,"J","L","J","J","J","J",,,,"A",,"-","-","*","*","B","04","A",2018
"MORA",11273,"SSPT","R","224167925",215500,"16840","WETA","6","P",,"F","B",,"0","3","0","0","N","1","0",93,0,"300",2018-07-06,"100","06","06",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","07","A",2018
"MORA",11273,"SSPT","N","224167934",215500,"16840","WETA","1","PL",,"M","P",,"2","0","1","0","N","1",,90,30,"300",2018-07-06,"110","06","06",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","07","A",2018
"MORA",11273,"SSPT","U",,195300,"18230","SOSP","2","S",,"U",,"1",,,,,,,"3",0,0,"000",2017-08-03,"055","09","09",,,,,,,,,,,,,"-","U","*","*","T","10","A",2017
"MORA",11273,"SSPT","N","160138802",191700,"18320","ORJU","6","PE",,"M","P",,"0","0","0","0","N","1","0",72,18,"300",2017-06-07,"064","09","09",,,,,,,,,,,,,"-","-","*","*","B","04","A",2017
"MORA",11273,"SSPT","R","160138802",191700,"18320","ORJU","6","EP",,"M","P",,"2","0","1","0","N","2","0",72,18,"300",2017-06-27,"064","07","07",,"B","B","B","B","B","B",,,,,,"-","-","*","*","B","06","A",2017
"MORA",11273,"SSPT","R","160138802",191700,"18320","ORJU","6","P",,"M","CP",,"1","0","0","0","N","2","0",76,17,"300",2018-06-06,"093","10","10",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","04","A",2018
